"","part_social_group","weekend","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"115","A - Upper middle class",FALSE,"2020 / 35","40-49",23,4287,0.00536505714952181,344.17004,0.000103420929738935,14.9639147826087,0.019276761990905
"116","A - Upper middle class",FALSE,"2020 / 35","50-59",25,4287,0.00583158385817588,366.9386,0.000110262738642513,14.677544,0.0189078544224181
"117","A - Upper middle class",FALSE,"2020 / 35","60-69",42,4287,0.00979706088173548,291.47108,8.75852241107666e-05,6.93978761904762,0.00893994894673467
"118","A - Upper middle class",FALSE,"2020 / 35","70-120",18,4287,0.00419874037788663,371.25004,0.000111558299212845,20.6250022222222,0.0265694682625259
"119","A - Upper middle class",FALSE,"2020 / 36","18-29",10,1725,0.00579710144927536,401.83808,0.000120749812616196,40.183808,0.0208293426762937
"120","A - Upper middle class",FALSE,"2020 / 36","30-39",7,1725,0.00405797101449275,371.80096,0.000111723847203634,53.1144228571429,0.0275319480608955
"121","A - Upper middle class",FALSE,"2020 / 36","40-49",5,1725,0.00289855072463768,344.17004,0.000103420929738935,68.834008,0.0356802207599326
"122","A - Upper middle class",FALSE,"2020 / 36","50-59",7,1725,0.00405797101449275,366.9386,0.000110262738642513,52.4198,0.0271718891654764
"123","A - Upper middle class",FALSE,"2020 / 36","60-69",8,1725,0.00463768115942029,291.47108,8.75852241107666e-05,36.433885,0.018885563948884
"124","A - Upper middle class",FALSE,"2020 / 36","70-120",17,1725,0.00985507246376812,371.25004,0.000111558299212845,21.8382376470588,0.0113198862436563
"125","A - Upper middle class",FALSE,"2020 / 37","18-29",11,2111,0.00521080056845097,401.83808,0.000120749812616196,36.5307345454545,0.0231729867666172
"126","A - Upper middle class",FALSE,"2020 / 37","30-39",11,2111,0.00521080056845097,371.80096,0.000111723847203634,33.8000872727273,0.0214408219497156
"127","A - Upper middle class",FALSE,"2020 / 37","40-49",12,2111,0.00568450971103742,344.17004,0.000103420929738935,28.6808366666667,0.018193465223241
"128","A - Upper middle class",FALSE,"2020 / 37","50-59",16,2111,0.00757934628138323,366.9386,0.000110262738642513,22.9336625,0.0145477900796465
"129","A - Upper middle class",FALSE,"2020 / 37","60-69",20,2111,0.00947418285172904,291.47108,8.75852241107666e-05,14.573554,0.00924462040489141
"130","A - Upper middle class",FALSE,"2020 / 37","70-120",15,2111,0.00710563713879678,371.25004,0.000111558299212845,24.7500026666667,0.015699971309221
"131","A - Upper middle class",FALSE,"2020 / 38","18-29",21,3836,0.00547445255474453,401.83808,0.000120749812616196,19.1351466666667,0.0220569657712251
"132","A - Upper middle class",FALSE,"2020 / 38","30-39",21,3836,0.00547445255474453,371.80096,0.000111723847203634,17.7048076190476,0.0204082227558638
"133","A - Upper middle class",FALSE,"2020 / 38","40-49",23,3836,0.00599582898852972,344.17004,0.000103420929738935,14.9639147826087,0.0172488124555893
"134","A - Upper middle class",FALSE,"2020 / 38","50-59",29,3836,0.0075599582898853,366.9386,0.000110262738642513,12.6530551724138,0.0145850988080234
"135","A - Upper middle class",FALSE,"2020 / 38","60-69",36,3836,0.00938477580813347,291.47108,8.75852241107666e-05,8.09641888888889,0.00933269221358057
"136","A - Upper middle class",FALSE,"2020 / 38","70-120",29,3836,0.0075599582898853,371.25004,0.000111558299212845,12.8017255172414,0.0147564701993267
"137","A - Upper middle class",FALSE,"2020 / 39","18-29",9,2194,0.004102096627165,401.83808,0.000120749812616196,44.6486755555556,0.0294361209866592
"138","A - Upper middle class",FALSE,"2020 / 39","30-39",11,2194,0.00501367365542388,371.80096,0.000111723847203634,33.8000872727273,0.0222838291604339
"139","A - Upper middle class",FALSE,"2020 / 39","40-49",12,2194,0.00546946216955333,344.17004,0.000103420929738935,28.6808366666667,0.0189087933206019
"140","A - Upper middle class",FALSE,"2020 / 39","50-59",20,2194,0.00911577028258888,366.9386,0.000110262738642513,18.34693,0.0120958224290837
"141","A - Upper middle class",FALSE,"2020 / 39","60-69",13,2194,0.00592525068368277,291.47108,8.75852241107666e-05,22.4208523076923,0.0147816908999248
"142","A - Upper middle class",FALSE,"2020 / 39","70-120",26,2194,0.0118505013673655,371.25004,0.000111558299212845,14.2788476923077,0.00941380417203776
"143","A - Upper middle class",FALSE,"2020 / 40","18-29",18,2376,0.00757575757575758,401.83808,0.000120749812616196,22.3243377777778,0.0159389752653378
"144","A - Upper middle class",FALSE,"2020 / 40","30-39",13,2376,0.00547138047138047,371.80096,0.000111723847203634,28.6000738461538,0.0204196816119872
"145","A - Upper middle class",FALSE,"2020 / 40","40-49",15,2376,0.00631313131313131,344.17004,0.000103420929738935,22.9446693333333,0.0163818752706473
"146","A - Upper middle class",FALSE,"2020 / 40","50-59",18,2376,0.00757575757575758,366.9386,0.000110262738642513,20.3854777777778,0.0145546815008117
"147","A - Upper middle class",FALSE,"2020 / 40","60-69",26,2376,0.0109427609427609,291.47108,8.75852241107666e-05,11.2104261538462,0.00800394201873775
"148","A - Upper middle class",FALSE,"2020 / 40","70-120",10,2376,0.00420875420875421,371.25004,0.000111558299212845,37.125004,0.026506251892972
"149","A - Upper middle class",FALSE,"2020 / 41","18-29",5,2117,0.00236183278223902,401.83808,0.000120749812616196,80.367616,0.0511254706616972
"150","A - Upper middle class",FALSE,"2020 / 41","30-39",11,2117,0.00519603212092584,371.80096,0.000111723847203634,33.8000872727273,0.0215017622300085
"151","A - Upper middle class",FALSE,"2020 / 41","40-49",5,2117,0.00236183278223902,344.17004,0.000103420929738935,68.834008,0.0437884216514651
"152","A - Upper middle class",FALSE,"2020 / 41","50-59",15,2117,0.00708549834671705,366.9386,0.000110262738642513,24.4625733333333,0.01556174784708
"153","A - Upper middle class",FALSE,"2020 / 41","60-69",10,2117,0.00472366556447803,291.47108,8.75852241107666e-05,29.147108,0.0185417919442493
"154","A - Upper middle class",FALSE,"2020 / 41","70-120",10,2117,0.00472366556447803,371.25004,0.000111558299212845,37.125004,0.0236168919433593
"155","A - Upper middle class",FALSE,"2020 / 42","18-29",10,2051,0.00487567040468064,401.83808,0.000120749812616196,40.183808,0.0247657865675817
"156","A - Upper middle class",FALSE,"2020 / 42","30-39",16,2051,0.00780107264748903,371.80096,0.000111723847203634,23.23756,0.0143216006634158
"157","A - Upper middle class",FALSE,"2020 / 42","40-49",17,2051,0.00828863968795709,344.17004,0.000103420929738935,20.2452964705882,0.0124774309937974
"158","A - Upper middle class",FALSE,"2020 / 42","50-59",23,2051,0.0112140419307655,366.9386,0.000110262738642513,15.953852173913,0.0098325598676432
"159","A - Upper middle class",FALSE,"2020 / 42","60-69",16,2051,0.00780107264748903,291.47108,8.75852241107666e-05,18.2169425,0.0112273309156989
"160","A - Upper middle class",FALSE,"2020 / 42","70-120",10,2051,0.00487567040468064,371.25004,0.000111558299212845,37.125004,0.0228806071685545
"161","A - Upper middle class",FALSE,"2020 / 43","18-29",3,1657,0.00181050090525045,401.83808,0.000120749812616196,133.946026666667,0.0666941465016787
"162","A - Upper middle class",FALSE,"2020 / 43","30-39",3,1657,0.00181050090525045,371.80096,0.000111723847203634,123.933653333333,0.0617088049388071
"163","A - Upper middle class",FALSE,"2020 / 43","40-49",9,1657,0.00543150271575136,344.17004,0.000103420929738935,38.2411155555556,0.0190409422863795
"164","A - Upper middle class",FALSE,"2020 / 43","50-59",6,1657,0.00362100181050091,366.9386,0.000110262738642513,61.1564333333333,0.0304508929884406
