"","week","work","work_mob","other","other_mob","work_mob2","other_mob2","work_scaling_fac_lin","work_scaling_fac_quad","other_scaling_fac_lin","other_scaling_fac_quad"
"1","2020 / 16",0.386484687083888,0.6625,0.852529960053262,0.6181525,0.43890625,0.38211251325625,0.541655230752845,0.544316745006943,0.212086967101966,0.178826729863551
"2","2020 / 17",0.548527618051925,0.618571428571429,0.861474124411919,0.671682857142857,0.382630612244898,0.451157860579592,0.490936026376435,0.461866772203117,0.237798558919006,0.215719913301459
"3","2020 / 18",0.726508226691042,0.58,0.871297989031079,0.645492857142857,0.3364,0.416661028622449,0.446402090826417,0.399971263426104,0.225219031607219,0.195848904509761
"4","2020 / 19",0.379097695553392,0.638571428571429,0.843881856540085,0.705965714285714,0.407773469387755,0.498387589746939,0.51402769666163,0.497825908391245,0.254265230845491,0.247003078402627
"5","2020 / 20",0.414829659318637,0.717142857142857,0.827209975506569,0.706448571428572,0.51429387755102,0.49906958407347,0.604744972782037,0.664648499371237,0.254497155802202,0.247486373764077
"6","2020 / 21",0.813988739714162,0.644285714285714,1.40926808142053,0.739287142857143,0.415104081632653,0.546545479593878,0.520625316743114,0.508584776822237,0.270270111364087,0.283137264637135
"7","2020 / 22",1.05197792088316,0.772857142857143,1.62557497700092,0.783122857142857,0.597308163265306,0.613281409379592,0.669071768576508,0.807626785131169,0.291325192123492,0.339273984338295
"8","2020 / 23",1.56565487170887,0.727142857142857,1.56464866677847,0.77499,0.528736734693877,0.6006095001,0.616290807924635,0.688802910103225,0.287418834790486,0.328120543498982
"9","2020 / 24",1.62771252239697,0.805714285714286,1.57575154290265,0.811192857142857,0.649175510204082,0.658033851479592,0.707008084045042,0.901549630625906,0.304807717195728,0.380353457132567
"10","2020 / 25",1.34869858931055,0.827142857142857,1.67872044506259,0.839765714285714,0.684165306122449,0.705206454889796,0.731749159350608,0.966641893997167,0.318531773583829,0.426284401984606
"11","2020 / 26",1.38893044128646,0.8,1.7341062079282,0.870711428571429,0.64,0.758138391844898,0.700410463963558,0.884703458220339,0.333395555868666,0.48071335476446
"12","2020 / 27",1.62422767272046,0.798571428571429,1.56599887661487,0.851664285714286,0.637716326530612,0.725332055561225,0.698761058943187,0.880525583835622,0.324246871111777,0.446635928437723
"13","2020 / 28",1.69570157167203,0.785714285714286,1.49384586252604,0.876441428571429,0.61734693877551,0.768149577716327,0.683916413759848,0.843530751273284,0.336147777766205,0.491325976565611
"14","2020 / 29",1.21344647519582,0.755714285714286,1.35574412532637,0.886917142857143,0.571104081632653,0.786622018293878,0.649278908332055,0.76145173359536,0.341179451457217,0.511159909028344
"15","2020 / 30",1.14549653579677,0.7,1.34064665127021,0.900698571428571,0.49,0.811257916573469,0.584952112537585,0.624776231596713,0.347798919082636,0.538102721037147
"16","2020 / 31",1.03574744661096,0.657142857142857,1.35654596100279,0.88024,0.431836734693878,0.7748224576,0.535469961926454,0.533580078762131,0.337972299836899,0.49845340987196
"17","2020 / 32",1.09202012940331,0.638571428571429,1.38844955667386,0.860724285714286,0.407773469387755,0.740846296018368,0.51402769666163,0.497825908391245,0.328598551808409,0.462615170642133
"18","2020 / 33",2.24305555555556,0.664285714285714,1.45833333333333,0.842628571428572,0.441275510204082,0.710022909387755,0.543716987028309,0.547937719651056,0.319906855279832,0.43111530361182
"19","2020 / 52",1.28942486085343,0.492857142857143,1.5291280148423,0.543625714285714,0.242908163265306,0.295528917232653,0.345788384583784,0.29627999633577,0.176290413594805,0.151731461204082
"20","2020 / 53",1.45516419942147,0.3775,1.579887697805,0.6771975,0.14250625,0.45859645400625,0.212598929188822,0.236093087207718,0.240447340913514,0.220348611647895
"21","2021 / 01",1.28681672025723,0.694285714285714,1.1,0.586027142857143,0.482032653061224,0.343427812165306,0.578354492456101,0.611916435245292,0.196656581169187,0.163683256892506
"22","2021 / 02",1.06885796545106,0.695714285714286,0.950815738963532,0.578894285714286,0.484018367346939,0.335118594032653,0.580003897476472,0.615111183103144,0.193230541793867,0.161032993486516
"23","2021 / 03",0.96647280191584,0.695714285714286,0.958946288060212,0.585564285714286,0.484018367346939,0.342885532704082,0.580003897476472,0.615111183103144,0.19643426257163,0.163503428457283
"24","2021 / 04",1.17319439453827,0.707142857142857,1.04671218109953,0.589367142857143,0.500051020408164,0.347353629079592,0.59319913763944,0.641153995486051,0.198260843147857,0.165013206561532
"25","2021 / 05",1.00440270032286,0.685714285714286,0.976225418256531,0.578407142857143,0.470204081632653,0.334554822908163,0.568458062333875,0.593030765318245,0.192996558331623,0.16086143145142
"26","2021 / 06",0.54366640440598,0.671428571428571,0.832415420928403,0.610802857142857,0.450816326530612,0.373080130293878,0.551964012130164,0.562632047706717,0.208556801655104,0.174899160323452
"27","2021 / 07",0.961657390228819,0.715714285714286,0.959802102659246,0.658414285714286,0.51224693877551,0.433509371632653,0.603095567761666,0.661251739213345,0.231425425789028,0.205216737883442
"28","2021 / 08",0.798391728891442,0.724285714285714,0.847788627225732,0.707915714285714,0.524589795918367,0.501144658532653,0.612991997883893,0.681834312460739,0.255201850862978,0.248962123197346
"29","2021 / 09",0.97876269621422,0.778571428571429,0.857617728531856,0.698392857142857,0.606173469387755,0.487752582908163,0.675669388657992,0.823449428549859,0.250627851568789,0.239578477751084
"30","2021 / 10",1.1888341543514,0.778571428571429,0.94055829228243,0.677922857142857,0.606173469387755,0.459579400236735,0.675669388657992,0.823449428549859,0.240795742974964,0.220968947675122
