"","part_social_group","week","part_age_group","sample","sample_total","sample_proportion","pop_estimate","pop_proportion","weight_raw","weight_proportion"
"1","A - Upper middle class","2020 / 13","18-29",5,1425,0.00350877192982456,401.83808,0.000120749812616196,80.367616,0.0344136965956157
"2","A - Upper middle class","2020 / 13","30-39",13,1425,0.00912280701754386,371.80096,0.000111723847203634,28.6000738461538,0.0122466524819368
"3","A - Upper middle class","2020 / 13","40-49",13,1425,0.00912280701754386,344.17004,0.000103420929738935,26.4746184615385,0.011336524990614
"4","A - Upper middle class","2020 / 13","50-59",8,1425,0.0056140350877193,366.9386,0.000110262738642513,45.867325,0.0196405503206976
"5","A - Upper middle class","2020 / 13","60-69",5,1425,0.00350877192982456,291.47108,8.75852241107666e-05,58.294216,0.0249617888715685
"6","A - Upper middle class","2020 / 13","70-120",3,1425,0.00210526315789474,371.25004,0.000111558299212845,123.750013333333,0.0529901921261013
"7","A - Upper middle class","2020 / 14","18-29",4,1564,0.00255754475703325,401.83808,0.000120749812616196,100.45952,0.0472131767329325
"8","A - Upper middle class","2020 / 14","30-39",8,1564,0.0051150895140665,371.80096,0.000111723847203634,46.47512,0.0218420121283104
"9","A - Upper middle class","2020 / 14","40-49",11,1564,0.00703324808184143,344.17004,0.000103420929738935,31.2881854545455,0.0147045758283358
"10","A - Upper middle class","2020 / 14","50-59",8,1564,0.0051150895140665,366.9386,0.000110262738642513,45.867325,0.0215563654046112
"11","A - Upper middle class","2020 / 14","60-69",10,1564,0.00639386189258312,291.47108,8.75852241107666e-05,29.147108,0.0136983290509239
"12","A - Upper middle class","2020 / 14","70-120",5,1564,0.00319693094629156,371.25004,0.000111558299212845,74.250008,0.0348954359937779
"13","A - Upper middle class","2020 / 15","18-29",9,1687,0.00533491404860699,401.83808,0.000120749812616196,44.6486755555556,0.0226338815426135
"14","A - Upper middle class","2020 / 15","30-39",20,1687,0.01185536455246,371.80096,0.000111723847203634,18.590048,0.00942390651162652
"15","A - Upper middle class","2020 / 15","40-49",19,1687,0.011262596324837,344.17004,0.000103420929738935,18.1142126315789,0.00918268991945176
"16","A - Upper middle class","2020 / 15","50-59",12,1687,0.00711321873147599,366.9386,0.000110262738642513,30.5782166666667,0.0155011033408266
"17","A - Upper middle class","2020 / 15","60-69",20,1687,0.01185536455246,291.47108,8.75852241107666e-05,14.573554,0.00738781365374316
"18","A - Upper middle class","2020 / 15","70-120",23,1687,0.013633669235329,371.25004,0.000111558299212845,16.1413060869565,0.00818255872922041
"19","A - Upper middle class","2020 / 16","18-29",5,1068,0.00468164794007491,401.83808,0.000120749812616196,80.367616,0.0257921599748194
"20","A - Upper middle class","2020 / 16","30-39",6,1068,0.00561797752808989,371.80096,0.000111723847203634,61.9668266666667,0.0198868448022468
"21","A - Upper middle class","2020 / 16","40-49",9,1068,0.00842696629213483,344.17004,0.000103420929738935,38.2411155555556,0.012272616995687
"22","A - Upper middle class","2020 / 16","50-59",11,1068,0.0102996254681648,366.9386,0.000110262738642513,33.3580545454545,0.0107055095336549
"23","A - Upper middle class","2020 / 16","60-69",9,1068,0.00842696629213483,291.47108,8.75852241107666e-05,32.3856755555556,0.0103934465944776
"24","A - Upper middle class","2020 / 16","70-120",20,1068,0.0187265917602996,371.25004,0.000111558299212845,18.562502,0.00595721317796592
"25","A - Upper middle class","2020 / 17","18-29",7,1428,0.00490196078431373,401.83808,0.000120749812616196,57.40544,0.0246329617737039
"26","A - Upper middle class","2020 / 17","30-39",9,1428,0.00630252100840336,371.80096,0.000111723847203634,41.3112177777778,0.0177268504229766
"27","A - Upper middle class","2020 / 17","40-49",14,1428,0.00980392156862745,344.17004,0.000103420929738935,24.5835742857143,0.0105489348333714
"28","A - Upper middle class","2020 / 17","50-59",6,1428,0.00420168067226891,366.9386,0.000110262738642513,61.1564333333333,0.026242531796918
"29","A - Upper middle class","2020 / 17","60-69",10,1428,0.00700280112044818,291.47108,8.75852241107666e-05,29.147108,0.0125071700030175
"30","A - Upper middle class","2020 / 17","70-120",5,1428,0.00350140056022409,371.25004,0.000111558299212845,74.250008,0.0318610502551885
"31","A - Upper middle class","2020 / 20","18-29",2,1047,0.00191021967526266,401.83808,0.000120749812616196,200.91904,0.0632125269045784
"32","A - Upper middle class","2020 / 20","30-39",7,1047,0.00668576886341929,371.80096,0.000111723847203634,53.1144228571429,0.0167106954317435
"33","A - Upper middle class","2020 / 20","40-49",10,1047,0.00955109837631328,344.17004,0.000103420929738935,34.417004,0.0108281713436665
"34","A - Upper middle class","2020 / 20","50-59",4,1047,0.00382043935052531,366.9386,0.000110262738642513,91.73465,0.0288612718396777
"35","A - Upper middle class","2020 / 20","60-69",11,1047,0.0105062082139446,291.47108,8.75852241107666e-05,26.4973709090909,0.00833652087672478
"36","A - Upper middle class","2020 / 20","70-120",18,1047,0.0171919770773639,371.25004,0.000111558299212845,20.6250022222222,0.00648897440421381
"37","A - Upper middle class","2020 / 21","18-29",6,1430,0.0041958041958042,401.83808,0.000120749812616196,66.9730133333333,0.0287787053401933
"38","A - Upper middle class","2020 / 21","30-39",11,1430,0.00769230769230769,371.80096,0.000111723847203634,33.8000872727273,0.0145241001364724
